Sample Name,Origin,4°C,16°C,30°C,40°C,Ethanol (5% v/v),Ethanol 7% v/v,Ethanol 9% v/v,Ethanol 10% v/v,Ethanol 11% v/v,Ethanol 12% v/v,NaCl (250mM),NaCl (500mM),NaCl (1000mM),KCl (500mM),KCl (1000mM),KCl (1500mM),Maltose (10°C),Maltose (39°C),Ethanol (10°C),Ethanol (39°C),Fructose (10°C),Fructose (39°C),Sucrose (10°C),Sucrose (39°C),Glucose (10°C),Glucose (39°C),"Actidione (0,2 mg/L)","Actidione (0,4 mg/L)","Actidione (0,5 mg/L)",Lysine,Sucrose (20°C),Fructose (20°C),Ethanol (20°C),Maltose (20°C),Galactose (20°C),Glycerol (20°C),Melibiose (20°C),Sorbitol (20°C),Copper (0.075mM),Cadmium (0.3mM),Cadmium (0.4mM),Cadmium (0.5mM),Glucose (46%),Glucose (48%),Glucose (50%),Sorbitol (46%),Sorbitol (48%),Sorbitol (50%),Acetic acid (50mM),Acetic acid (75mM),Acetic acid (100mM),Levulinic acid (25mM),Levulinic acid (50mM),Levulinic acid (75mM),Formic acid (25mM),Formic acid (50mM),Formic acid (75mM),Ethanol production (%v/v),Sporulation efficiency,Spore viability,"Sulfite (1,5mM)","Sulfite (2,25mM)","Sulfite (3,0mM)",Maltose (liquid),Maltotriose (liquid),Acetaldehyde,Ethyl acetate,Ethyl propionate,Propyl acetate,Isobutyl acetate,Ethyl butyrate,Isobutanol,Isoamyl acetate,Butanol,Isoamyl alcohol,Ethyl hexanoate,Ethyl octanoate,Ethyl decanoate,Phenyl ethyl acetate,Phenyl ethanol,Flocculation,POF
BE034,Beer,-0.466,0.466,0.807,-1.022,1.479,2.199,2.171,3.712,0.39,-0.285,1.166,0.151,-0.363,1.827,2.15,-0.768,1.346,-0.584,0.564,-0.539,-0.133,-1.049,-1.381,-1.154,-0.281,-1.307,-0.645,-0.382,-0.341,0.191,-0.12,0.337,0.552,0.01,-1.17,0.145,-0.011,-0.595,0.31,0.93,-0.2,-0.6,-0.393,-0.354,-0.138,-0.159,-0.558,-0.451,0.582,1.126,1.112,1.357,2.119,3.61,0.523,0.805,1.595,0.855,0.707,1.368,0.311,0.696,-0.264,-0.852,0.552,-1.018,-2.554,-2.58,-0.929,-1.775,-1.293,-1.255,-1.652,-4.386,-2.707,-1.531,-2.132,-0.519,-1.085,-1.612,-1.207,1.078
BE035,Beer,-0.466,2.487,0.643,-1.022,0.834,-0.102,-1.081,-0.943,-0.91,-0.792,-0.208,-0.62,-0.363,1.645,-1.59,-1.51,-1.068,-1.105,-1.007,-0.539,-1.469,-1.66,-1.752,-1.537,-0.403,-1.307,-0.645,-0.382,-0.341,0.191,-2.444,-1.001,-1.954,-1.63,-3.114,-1.649,-1.517,-1.471,-1.058,0.006,1.583,1.193,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.324,-1.237,-0.875,-0.286,-0.25,-0.645,0.443,-1.15,-0.632,-2.202,-1.223,-0.819,-0.684,-0.588,-0.441,0.167,-0.782,-1.018,-2.554,-2.58,-0.929,-1.775,-1.293,-1.255,-1.652,-4.386,-2.707,-1.531,-2.132,-0.519,-1.085,-1.612,-1.207,-0.922
BE036,Beer,-0.466,1.291,2.031,-1.022,1.473,2.805,1.016,0.572,-0.631,-0.647,-0.626,-0.62,-0.363,1.31,0.954,-1.122,1.819,-1.105,-0.31,-0.539,0.079,-0.106,-0.082,-1.537,-0.316,-1.307,-0.645,-0.382,-0.341,0.191,0.849,0.031,0.337,0.59,0.454,-0.139,-0.611,0.1,-1.058,-0.918,-0.943,-0.6,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.038,-0.598,-0.875,0.578,0.977,-0.364,0.403,-0.444,-0.632,-1.228,-1.037,-0.819,0.33,0.061,-0.441,0.743,0.575,-1.018,-2.554,-2.58,-0.929,-1.775,-1.293,-1.255,-1.652,-4.386,-2.707,-1.531,-2.132,-0.519,-1.085,-1.612,-1.207,-0.922
BE037,Beer,-0.466,2.172,2.468,-1.022,0.517,-0.401,-0.814,-0.583,-0.91,-0.792,-0.487,-0.62,-0.363,0.962,0.765,-0.915,-1.068,-1.105,-1.007,-0.539,-1.469,-0.11,-0.059,-0.036,-0.677,-0.38,-0.645,-0.382,-0.341,0.191,2.282,-0.702,1.274,-0.42,0.383,-1.14,-1.517,-0.715,-1.058,-1.641,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.397,0.557,-0.875,0.916,0.788,-0.836,-0.197,-0.241,0.043,-0.594,-0.694,-0.655,0.342,0.592,-0.105,-0.958,-0.633,-1.018,-2.554,-2.58,-0.929,-1.775,-1.293,-1.255,-1.652,-4.386,-2.707,-1.531,-2.132,-0.519,-1.085,-1.612,-1.207,-0.922
BE038,Beer,-0.466,-0.126,-0.721,1.528,0.181,-0.087,-0.264,-0.23,0.287,0.409,-0.761,-0.62,-0.363,0.046,0.446,0.423,0.525,1.498,-0.464,-0.065,-0.359,0.902,-0.327,0.944,-0.377,0.654,1.273,0.017,-0.024,0.191,-0.606,-0.603,-0.515,-0.22,0.691,-0.342,-0.038,-0.355,0.31,0.207,0.395,0.834,-0.776,-0.61,-0.443,-0.779,-0.558,-0.451,0.608,1.342,1.494,-0.027,0.119,1.668,0.427,0.912,2.243,1.366,1.329,0.166,0.059,-0.37,-0.441,-0.066,0.834,1.068,-0.794,-0.882,-0.929,-0.93,0.063,-0.541,-0.966,0.123,-0.845,1.863,-0.798,0.067,-0.682,-0.735,-0.584,-0.922
BE039,Beer,-0.466,-0.358,-0.875,0.882,0.081,0.056,0.527,0.122,0.616,0.306,1.025,0.718,1.528,-0.474,-0.501,-0.657,-0.794,-0.091,-0.053,-0.459,0.229,0.841,-0.347,0.944,-0.343,0.699,-0.539,-0.382,-0.341,0.191,-0.875,-0.46,-0.707,-0.94,-0.728,0.045,0.016,0.025,-0.894,-0.837,-1.042,-0.78,-0.776,-0.61,-0.443,-0.702,-0.558,-0.451,0.345,0.495,0.841,0.804,1.009,0.442,-0.08,0.244,-0.632,0.896,0.427,0.002,0.59,0.769,0.352,-1.281,-1.478,0.527,-0.62,-1.174,-0.929,-0.394,-1.293,0.238,-0.359,0.286,0.485,-0.356,1.338,-0.149,-0.569,0.062,-0.584,-0.922
BE040,Beer,-0.466,0.43,-0.852,0.217,-0.522,-0.054,0.5,0.522,0.334,-0.359,1.314,0.892,0.928,-0.209,0.01,-0.343,-0.751,-0.539,-0.264,-0.539,0.554,0.902,-0.006,0.944,0.068,0.565,-0.645,-0.382,-0.341,0.191,-0.665,-0.227,-0.419,-0.95,-0.573,0.246,-0.024,0.133,0.037,-0.878,-1.091,-0.78,-0.728,-0.61,-0.443,-0.547,-0.558,-0.451,0.592,0.566,0.722,1.176,1.148,1.177,0.406,0.141,-0.632,0.533,0.146,0.33,0.712,0.715,0.255,0.113,-1.478,1.088,-0.619,-1.104,-0.929,-0.468,0.25,0.079,-0.33,0.521,0.549,0.082,-0.182,-0.211,-0.555,-0.281,-0.584,-0.922
BE041,Beer,2.276,5.059,1.68,-1.022,1.146,-1.747,-1.081,-0.943,-0.91,-0.792,-0.378,-0.62,-0.363,-0.074,-0.49,-0.678,-0.614,-1.105,-0.119,-0.539,-0.863,-1.66,-0.528,-1.537,5.194,-1.307,-0.645,-0.382,-0.341,0.191,-0.66,-0.467,-1.311,-0.61,-1.176,-0.537,-1.517,-1.471,0.995,-0.396,-0.695,-0.541,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,-1.674,-1.237,-0.875,-2.182,-1.551,-0.836,-2.206,-1.537,-0.632,-0.131,-1.223,-0.819,-0.594,-0.717,-0.441,0.859,0.323,0.022,-1.545,-0.786,-0.929,-1.414,-0.06,-0.498,-1.354,-0.8,-1.436,-1.25,-1.659,-0.317,-1.085,-0.849,-0.584,-0.922
BE042,Beer,-0.466,0.967,0.246,-1.022,-1.995,-1.918,-1.081,-0.943,-0.91,-0.792,-0.885,-0.62,-0.363,1.827,2.672,-0.842,-1.068,-1.105,-1.007,-0.539,-1.469,-1.66,-1.752,-1.537,-0.38,-1.307,-0.645,-0.382,-0.341,0.191,-0.163,0.169,-1.954,-1.12,-0.542,-1.12,-1.517,-0.951,-0.976,-1.52,-1.091,-0.78,-0.489,-0.162,-0.443,-0.469,-0.558,-0.451,-1.021,-1.237,-0.875,-0.291,-0.446,-0.785,0.439,0.18,-0.341,-0.588,-1.223,-0.819,-1.197,-0.58,-0.441,0.151,0.729,-0.359,-1.061,-1.254,-0.929,-0.591,0.044,-0.587,-0.557,-1.363,-1.203,-0.586,1.447,-0.287,-0.485,-0.638,-0.584,-0.922
BE043,Beer,-0.466,0.269,-0.556,-1.022,0.009,0.005,0.195,-0.358,0.11,-0.792,-0.652,-0.62,-0.363,1.618,1.284,0.537,0.122,-1.105,-0.329,-0.539,-0.623,0.902,-0.397,0.944,-0.599,0.789,-0.645,-0.382,-0.341,0.191,-0.966,-0.023,-0.398,-0.18,-0.241,-1.357,-1.517,-1.177,-0.456,0.127,-0.002,-0.122,-0.728,-0.61,-0.443,-0.779,-0.558,-0.451,0.907,0.591,-0.875,0.012,0.195,0.089,1.089,1.137,-0.632,-0.706,-1.223,-0.819,-1.33,-0.717,-0.441,0.449,0.89,-0.496,1.355,0.732,0.571,1.172,0.31,-0.378,0.723,-0.531,-0.756,0.52,2.59,-0.159,0.662,0.926,-0.584,1.078
