N,K,P,run,sampler,time,load_min_ess,load_mean_ess,load_med_ess,prec_min_ess,prec_mean_ess,prec_med_ess
50.0,1.0,100.0,1.0,gibbs,7.643,240.99347673399777,1297.3428069414474,1424.5679967120968,1196.86048602564,1590.7943216589927,1627.3699344188444
50.0,1.0,100.0,1.0,hmc,17.785,583.8559399758478,1415.4663853618852,1490.6936258606984,1018.7063533503926,1582.1754554951935,1600.9566970979113
50.0,1.0,100.0,1.0,old,15.576,52.29273071713065,1142.4409412313155,1252.2668367100187,960.7099436573207,1930.938398360381,1977.8035155460202
100.0,1.0,100.0,1.0,ortho,73.891,151.81972307598986,1618.7091243661787,995.9875704665997,3233.4376216038563,4074.1994123638706,4108.130103748662
100.0,1.0,100.0,1.0,gibbs,12.821,108.82246562726392,835.7479708232593,745.7778252481492,1216.3970296804816,1611.6370324442737,1654.3458051940524
100.0,1.0,100.0,1.0,hmc,32.437,165.0724917169475,1063.4354483327809,1070.3772298846693,993.597163786314,1553.2936849038933,1578.0830639993899
100.0,1.0,100.0,1.0,old,43.961,33.51565724644366,920.5778302888918,553.672073948341,883.1689727566496,1923.2640691197034,1965.7028344798168
500.0,1.0,100.0,1.0,ortho,359.592,123.61122122132592,1961.6952955001566,1128.4165757559927,2804.2444280105915,4225.249412664298,4247.818956490998
500.0,1.0,100.0,1.0,gibbs,53.482,101.13663896587069,774.6057037803138,578.5660512615414,1106.645720925982,1607.5118296939793,1629.3034246369255
500.0,1.0,100.0,1.0,hmc,149.899,226.7528223907993,1111.5970263395395,1119.382404224664,1033.6307375208423,1608.118832367219,1640.7628971841064
500.0,1.0,100.0,1.0,old,1088.669,26.59853598376068,788.4381063951897,394.80790619359277,517.1217384313708,1866.330401949355,1923.9544524261669
1000.0,1.0,100.0,1.0,ortho,740.049,138.14608275680135,1849.7716773565114,1351.8675190460867,2904.5122260269873,4198.038548551897,4248.25223330074
1000.0,1.0,100.0,1.0,gibbs,112.421,86.73581596893422,890.7765391149336,813.5166549768171,911.2323920872899,1581.3508334328033,1621.69920135572
1000.0,1.0,100.0,1.0,hmc,315.164,214.04349543374556,1037.5458244262234,1048.78966836243,1062.4262266065045,1587.2770637526658,1621.8380660304597
1000.0,1.0,100.0,1.0,old,6939.239,12.475381757026527,609.5570204704176,240.55680953591641,668.9014066535844,1899.664005765043,1954.780708007716
50.0,2.0,100.0,1.0,ortho,69.397,106.66332697819712,1060.9284578435866,900.4659546735159,2383.8730414359625,3847.106536487214,3951.5379261598837
50.0,2.0,100.0,1.0,gibbs,11.542,131.54914620144254,478.0985148248689,366.4745748293695,886.1069259432102,1493.7899979431788,1521.2294957698068
50.0,2.0,100.0,1.0,hmc,27.915,271.2493440681872,670.9462745535769,618.0475458137814,980.6047658519483,1514.6776111852676,1543.2604426630596
50.0,2.0,100.0,1.0,old,20.332,31.164044566547503,153.36749106596946,60.83598707103867,444.0410981934083,1752.8795545684045,1829.9935153129913
100.0,2.0,100.0,1.0,ortho,125.04099999999998,45.380013481442525,327.2446053628958,313.07683927355174,2447.3220135650017,3893.804801577777,3909.230390033107
100.0,2.0,100.0,1.0,gibbs,20.045,37.31220621214182,361.117168114196,211.9657388409534,1185.724007418348,1551.552589116461,1546.0106227312076
100.0,2.0,100.0,1.0,hmc,51.443,95.93965966627822,171.88456280848288,147.27681146624894,1087.3444284704774,1546.1381220307114,1574.828418426152
100.0,2.0,100.0,1.0,old,59.365,20.912541398806173,156.16512230781663,51.03354343314676,821.6722985207149,1742.8596941059327,1809.202357741308
500.0,2.0,100.0,1.0,ortho,594.124,31.827512124768326,416.22296292903826,297.4125576432424,2769.5342504198024,4287.1019461696405,4352.643712051367
500.0,2.0,100.0,1.0,gibbs,86.206,13.878966211460286,259.7977936049854,107.0808570874128,1045.8997367627994,1616.8635205634287,1647.6936946145242
500.0,2.0,100.0,1.0,hmc,242.93099999999998,88.90209902326413,392.3180745608591,330.4519373774957,915.4800595622141,1579.097589345698,1612.9750490648387
500.0,2.0,100.0,1.0,old,1448.722,5.509819860710106,176.81192514130754,27.995383121762803,477.9523164622275,1834.9867201489185,1895.142070089085
1000.0,2.0,100.0,1.0,ortho,1199.372,106.52504038027698,678.384810423159,443.2266532742649,2660.5597373205433,4239.343662027622,4279.401935239624
1000.0,2.0,100.0,1.0,gibbs,173.293,76.83070982135382,585.7272162748437,364.65250232109224,1025.5522945945697,1577.06102150523,1615.8943757600928
1000.0,2.0,100.0,1.0,hmc,498.369,123.12246258327329,594.8155127388492,456.5939623145321,1073.2638951718857,1580.9118483739046,1612.7336611531678
1000.0,2.0,100.0,1.0,old,8201.369000000002,3.73288473406631,276.1141863257351,34.725021154122985,423.8022060793452,1784.8997773298197,1887.064081148469
50.0,4.0,100.0,1.0,ortho,135.943,71.66737823183931,849.0055670276303,655.9971802415207,1034.9356702320626,3348.685550000053,3463.199470462774
50.0,4.0,100.0,1.0,gibbs,21.965,189.57458074373145,954.98806679688,982.0290690144616,356.28849752168793,1252.6653556410745,1280.1287579913328
50.0,4.0,100.0,1.0,hmc,56.05,202.447204356202,581.1348196186597,573.950426319016,113.98013225354666,983.8357686169468,1051.205954427397
50.0,4.0,100.0,1.0,old,29.914,24.369494445315393,476.39809069829664,418.148620899379,107.32820698329502,1058.5670050484114,1068.24621611466
100.0,4.0,100.0,1.0,ortho,256.404,121.72359408689127,953.2413872716825,881.8798331925789,2155.2598234072393,3715.2769922338525,3807.8529885688777
100.0,4.0,100.0,1.0,gibbs,39.061,121.0239818020217,651.285456592511,675.0225541908382,446.9389816507467,1326.9639567425154,1391.862490832732
100.0,4.0,100.0,1.0,hmc,108.472,82.22889471146475,383.3368508756726,366.4060596326051,81.13714489789083,1107.6422475095383,1212.335096629976
100.0,4.0,100.0,1.0,old,88.756,33.7150687727586,221.86689051492337,186.84594867961013,94.84303797342841,1142.6502061389472,1167.1138569990444
500.0,4.0,100.0,1.0,ortho,1255.906,69.10961699014737,462.6439884602912,373.97411323611334,2466.279228600909,3919.893809569482,4015.1994846332386
500.0,4.0,100.0,1.0,gibbs,170.515,53.09949899826181,759.8243921145337,716.3730319389808,1184.2594755652883,1563.5178152362475,1582.989319664779
500.0,4.0,100.0,1.0,hmc,529.752,62.039278486307936,589.1112323593264,582.6751002231144,1023.9749337137408,1566.8498865559432,1603.1515988658955
500.0,4.0,100.0,1.0,old,2075.62,17.276890231168988,192.35315096432575,111.0020444286757,469.67584426236067,1575.3947117757218,1691.794901546007
1000.0,4.0,100.0,1.0,ortho,2512.907,29.6845471434067,222.07540515625385,157.05608856142942,2409.473585411352,4066.5671066321192,4194.552046590366
1000.0,4.0,100.0,1.0,gibbs,344.818,61.71764518710764,647.9736355702923,561.3533566351864,1069.113064174934,1559.7726716565594,1592.0381460214064
1000.0,4.0,100.0,1.0,hmc,1044.533,87.43685914419726,418.4033481382558,378.6547685422829,1108.359344999107,1581.3292982793294,1614.4199753937808
1000.0,4.0,100.0,1.0,old,10656.036,7.148116345964277,171.77057074640445,89.86908731121864,251.29262793250263,1627.7383631821258,1691.625116485584
50.0,1.0,1000.0,1.0,ortho,200.346,2.553819869519031,151.78909409843465,5.965970964953766,2918.1172681623784,4131.148592387435,4164.039238850934
50.0,1.0,1000.0,1.0,gibbs,39.24,243.57150963183958,1364.9804346377894,1479.322008715654,735.8105893528107,1567.7759401632047,1594.0882974508834
50.0,1.0,1000.0,1.0,hmc,79.483,130.56273153894043,631.0721892984103,624.0724765035184,845.3868621601043,1579.2721107783452,1601.6865435005107
50.0,1.0,1000.0,1.0,old,136.214,93.73360895441043,1652.3996561855215,1879.7445949432217,1223.8024723779945,2026.9032985196268,2039.0498012785542
100.0,1.0,1000.0,1.0,ortho,389.854,24.552434922525205,826.328984581532,633.218256962559,2796.7578232251562,4269.265522419834,4286.674376502626
100.0,1.0,1000.0,1.0,gibbs,69.088,66.58900363865017,1342.8843884040784,1492.6990084031963,851.860352572323,1597.404009135104,1625.4393484116915
100.0,1.0,1000.0,1.0,hmc,155.182,196.98722861095678,805.1158813124957,820.092870810136,1050.007971519003,1601.361294681126,1631.400041387995
100.0,1.0,1000.0,1.0,old,505.835,60.67336445390764,1863.4918180749028,2033.0702021845427,1218.5034365142044,2034.8906260739766,2051.076329522555
500.0,1.0,1000.0,1.0,ortho,1791.131,15.619874958301345,452.0522850521358,131.84197745335058,3048.138278147134,4329.051316647743,4362.231895189527
500.0,1.0,1000.0,1.0,gibbs,313.0,8.157321374089184,507.2494586114841,83.86782259084873,791.5759698266912,1602.9301931633736,1626.6171504179788
500.0,1.0,1000.0,1.0,hmc,741.136,13.27834607777122,343.94690492820047,345.9327296065163,1007.0861639767063,1586.2800747178583,1613.5013866890436
500.0,1.0,1000.0,1.0,old,19202.364,3.2752672775739686,607.754498862635,38.57938549355525,1452.7995110842046,2067.3174542234337,2087.1894674902214
1000.0,1.0,1000.0,1.0,ortho,3508.678,22.658917844195173,501.8814643578521,228.91738512004798,3197.205011815354,4397.604040279783,4427.385241683506
1000.0,1.0,1000.0,1.0,gibbs,615.615,6.210788909430737,607.1263128446391,190.7999975864027,858.9183461836518,1616.8490689932107,1646.7640477919663
1000.0,1.0,1000.0,1.0,hmc,1534.002,12.184820248427705,294.3615152947523,182.51613126792762,991.796777442014,1609.6839202655572,1635.7181070156198
1000.0,1.0,1000.0,1.0,old,82458.953,2.4122206305088154,719.4587058540749,94.04289641316609,1235.4925319245185,2068.528564389613,2091.4057434107053
50.0,2.0,1000.0,1.0,ortho,305.481,2.197116996578801,50.450732109958174,4.749918225816689,2572.1945252247606,3804.9322305786204,3850.582261182961
50.0,2.0,1000.0,1.0,gibbs,49.977,366.4710239099989,616.7097123564025,518.1065411018658,912.241706395852,1572.1031064282863,1597.9537884488452
50.0,2.0,1000.0,1.0,hmc,117.332,128.83529055101005,210.2855256560372,192.76009654945017,873.1497854597347,1484.415332111008,1505.2979712245926
50.0,2.0,1000.0,1.0,old,179.726,79.17524482402423,216.21299067375656,114.66139413791461,1122.6182008418639,1933.5050101686695,1952.1751068206886
100.0,2.0,1000.0,1.0,ortho,475.945,5.09000775120148,278.3705425078338,48.85316150541293,2743.9908808125333,4019.0754049937023,4046.7868523102443
100.0,2.0,1000.0,1.0,gibbs,85.25,150.138295050962,372.0570636253637,318.73005371229937,494.818539827187,1574.0893880718752,1602.6924841649513
100.0,2.0,1000.0,1.0,hmc,207.803,25.14349735241839,106.94253349270954,99.4294707720872,930.2373075799496,1545.970754715309,1571.4902097846004
100.0,2.0,1000.0,1.0,old,637.95,9.30257244533186,128.23887459712503,67.56016360020593,1211.335464873046,2010.4422486452283,2027.2816351463512
500.0,2.0,1000.0,1.0,ortho,2159.522,7.060058797937447,224.39850467598555,51.25073795825543,3130.0945024623993,4196.031552056346,4225.399264018248
500.0,2.0,1000.0,1.0,gibbs,367.71,14.676670035518912,96.17627244632396,27.85528914994061,825.6418108482603,1611.9911097700372,1636.0203923601216
500.0,2.0,1000.0,1.0,hmc,1022.786,10.203720528854952,35.40700978166574,14.697476030509764,810.7430100270686,1592.0391613796003,1613.289171126286
500.0,2.0,1000.0,1.0,old,21498.312,3.187100735894383,83.23696095316372,6.38488210684368,1154.6658265057456,1986.5690759219738,2007.8002601078247
1000.0,2.0,1000.0,1.0,ortho,4929.308,5.7364801038356985,152.7312461025552,65.9302055049598,3060.157533437361,4362.326928016578,4394.616433166222
1000.0,2.0,1000.0,1.0,gibbs,745.501,6.898209246888546,137.79129672527714,28.688847897280183,739.4340843763295,1618.843051266982,1648.5829072181584
1000.0,2.0,1000.0,1.0,hmc,1901.069,3.197160814759928,70.3271431297528,25.12233503865143,1031.8497014727743,1602.3640236778244,1627.5003462627471
1000.0,2.0,1000.0,1.0,old,89428.84299999998,1.879785028741853,43.47615030012147,4.380399534754961,1048.1375423657923,1946.0616973473418,1961.3891372341832
50.0,4.0,1000.0,1.0,ortho,518.406,5.951901524313155,227.487388235275,195.56946805199587,780.2239380222377,3102.2172660830815,3200.9465104255014
50.0,4.0,1000.0,1.0,gibbs,80.216,176.40171254350022,1109.5803388506133,1138.478500536139,878.2864456339103,1495.756814470487,1520.4473157109035
50.0,4.0,1000.0,1.0,hmc,194.85,59.184498870339276,371.66965534312413,346.16254955458925,392.0763508002449,1242.079988743688,1279.6414770330202
50.0,4.0,1000.0,1.0,old,267.836,59.51407717321609,677.4832815218647,651.6520726845124,883.9767320966811,1782.3229935737072,1812.712049526213
100.0,4.0,1000.0,1.0,ortho,869.839,2.08296820212752,59.13690421622904,22.1030935292232,1067.5745871554543,3437.053393952017,3536.9505446426247
100.0,4.0,1000.0,1.0,gibbs,133.556,182.96797157199646,898.3768140721343,933.9682611332953,858.0749510037017,1572.7114354031175,1594.1711680066787
100.0,4.0,1000.0,1.0,hmc,356.919,44.01039141310442,185.1859419075349,172.65694310687388,499.03337829928,1389.4303289502807,1424.0286907795303
100.0,4.0,1000.0,1.0,old,949.347,36.53722542713099,478.72632494428905,443.9052026729654,894.8567974501946,1841.2211790682245,1870.9061975495852
500.0,4.0,1000.0,1.0,ortho,4292.854,2.0307710594979755,35.66603624375706,27.975044686272717,1449.0670475099935,4096.531577813486,4160.119383057014
500.0,4.0,1000.0,1.0,gibbs,559.682,18.160568362457653,314.3868739639156,288.94203809849694,1002.0180562913534,1591.6185546394913,1615.5293367089098
500.0,4.0,1000.0,1.0,hmc,1719.135,4.131652877780487,20.86667799294753,18.248028425156903,713.1759676075725,1529.5196043090243,1563.6394238206017
500.0,4.0,1000.0,1.0,old,25858.553,2.7166937251091676,89.68304555561704,53.99504747895144,908.2742454981793,1983.804201346352,2005.5577707577663
1000.0,4.0,1000.0,1.0,ortho,8343.492,3.739405879658278,86.66939897796934,49.16986400740866,2720.764302931305,4185.921954111146,4225.82192768077
1000.0,4.0,1000.0,1.0,gibbs,1082.185,6.856821298780158,172.79202307571603,74.31384594066941,1014.5635609056197,1610.255986400226,1637.3687709266644
1000.0,4.0,1000.0,1.0,hmc,3284.005,2.332980616072808,20.602622503824055,11.323315614015101,819.6339361785058,1600.3199398124507,1629.003194949904
1000.0,4.0,1000.0,1.0,old,121230.78300000001,2.4130938006039457,56.18587516377731,14.98169211658352,784.5438064144062,1963.5587940499356,1993.5770621390798
50.0,1.0,10.0,2.0,ortho,23.306,948.2907134246534,2199.5744364041234,1463.2016478697437,2331.948814186239,3627.6975161105865,3675.3682664443168
50.0,1.0,10.0,2.0,gibbs,3.893,275.6282738107836,964.1949248944693,859.2679642561469,1140.682414749527,1424.4700386513723,1438.8996352071767
50.0,1.0,10.0,2.0,hmc,9.452,1251.7224792802654,1531.978098909451,1577.9005962313956,1009.1422341409459,1408.383401955513,1466.1597157967021
50.0,1.0,10.0,2.0,old,5.376,55.023212327610224,438.8710432560814,214.03372755370515,417.63704463915326,1205.5889058357623,1094.2749642160143
100.0,1.0,10.0,2.0,ortho,41.219,683.4027999231504,1874.7417889529236,1393.5552126965952,1963.147167185049,3754.6712443400334,4058.918076801124
100.0,1.0,10.0,2.0,gibbs,6.713,476.8202102348706,947.3257060448153,904.664428045706,1143.3844836245864,1527.0636667092956,1596.9255633890689
100.0,1.0,10.0,2.0,hmc,17.832,931.3590651688223,1450.0331264558938,1537.1291793611472,1071.0939243591083,1526.6264154285204,1545.7852777342814
100.0,1.0,10.0,2.0,old,14.656,32.277038183620704,232.5933492974419,133.82925797389828,264.04835406269996,1206.4378159392468,1478.969797967261
500.0,1.0,10.0,2.0,ortho,184.712,884.9711215069817,2773.05301297085,1858.943268285821,2456.395512020087,3874.4803169620354,4011.6093692564964
500.0,1.0,10.0,2.0,gibbs,25.77,422.80194383523406,932.8953337787125,776.2299914746163,1049.280503259938,1611.954004544872,1625.0677749886213
500.0,1.0,10.0,2.0,hmc,78.801,788.5009569195932,1537.9646370197884,1677.514522567622,1096.7717232880527,1504.157754038414,1569.8910745156018
500.0,1.0,10.0,2.0,old,266.196,11.421177319268423,318.82191811637057,30.17324918956652,279.9043409257309,1377.712583518654,1351.6728860104618
1000.0,1.0,10.0,2.0,ortho,367.945,252.41430623189237,1318.3272867001278,522.5936429186186,1313.4357863374812,3880.6053224694006,4309.64861583761
1000.0,1.0,10.0,2.0,gibbs,48.748,103.94356655658075,530.9727002974117,241.03847648039553,821.2447864027598,1544.7638657739517,1666.9853926514236
1000.0,1.0,10.0,2.0,hmc,156.009,967.6166736521908,1371.706848163505,1318.9261387000356,897.9688756816239,1572.1638433067658,1669.9019114610487
1000.0,1.0,10.0,2.0,old,1091.07,11.98985640147646,325.2534950737788,33.8101418427171,283.8073789354971,1515.8126171784002,1675.1968764997166
50.0,2.0,10.0,2.0,ortho,37.196,516.5938039757586,2385.5965474141803,2515.1423859270403,581.1189707795211,2765.2768696411717,2789.389109052608
50.0,2.0,10.0,2.0,gibbs,6.813,178.32969790046667,850.9652651392456,884.2999796946306,268.4328352936835,969.8257380225814,1070.5882341979282
50.0,2.0,10.0,2.0,hmc,17.731,501.86608756407065,1249.6593032298524,1289.7407590575403,389.4253612493827,1015.0517969522422,1000.3238251517082
50.0,2.0,10.0,2.0,old,5.974,16.523128357249334,88.18480257155484,74.2084855789411,19.41878075422917,481.00827025239994,305.1911507601674
100.0,2.0,10.0,2.0,ortho,76.619,799.8413039639539,1956.5069894701185,1783.2877526902294,1548.5628660200418,3219.289740793141,3570.4641721496228
100.0,2.0,10.0,2.0,gibbs,12.642,434.8853051028738,863.6754284875803,815.913419245555,571.5792355016124,1307.298750698498,1519.1533833671192
100.0,2.0,10.0,2.0,hmc,32.121,1334.73260924616,1466.768323884908,1455.606201230807,769.5013185275166,1339.7113146221504,1542.8051567659163
100.0,2.0,10.0,2.0,old,16.019,51.63581214936962,185.01649976309898,129.08571168537227,95.33822736230137,1114.9701117071265,1250.3654749162579
500.0,2.0,10.0,2.0,ortho,389.674,327.3651230508897,1947.7854578531765,1855.012898040697,1867.6376160349869,3440.672572921981,3793.805837095576
500.0,2.0,10.0,2.0,gibbs,93.344,284.2385019913059,855.862931783406,862.3676549350179,1035.7804845724577,1386.152021832543,1470.4845067642411
500.0,2.0,10.0,2.0,hmc,144.579,867.8458742684765,1512.4971248523175,1581.4537294243094,964.2174637038742,1343.629768540763,1414.836486043484
500.0,2.0,10.0,2.0,old,444.698,16.320350650169207,89.71006162494396,44.914568321213714,118.09304883551529,866.2520640696854,632.0923317659638
1000.0,2.0,10.0,2.0,ortho,755.526,452.65890521693996,1689.7268341898518,1741.251781306471,2209.222369133756,3456.6849250813802,3776.7567668774973
1000.0,2.0,10.0,2.0,gibbs,181.46,248.53132836189897,686.9645782707232,689.6314091707844,1088.015019822888,1467.3366378708035,1476.6805124729372
1000.0,2.0,10.0,2.0,hmc,268.709,855.211600032006,1466.189186047732,1526.182753554397,1120.9086474642652,1471.4022126068744,1526.4012533253585
1000.0,2.0,10.0,2.0,old,1791.068,13.298151144348608,43.871684063414506,38.79026212175947,178.0175510327855,722.9500737868301,475.3459517709194
50.0,4.0,10.0,2.0,ortho,105.341,410.4274314827788,2373.585213945257,2831.5655467315073,1913.2642776219495,3198.1080005938766,3090.765227684192
50.0,4.0,10.0,2.0,gibbs,26.805,596.158809278683,1207.8968676359318,1257.3093594447582,425.1220666803694,894.4802457562209,790.0676769508677
50.0,4.0,10.0,2.0,hmc,48.602,1029.3613246454152,1379.3628019031464,1366.552531267957,649.9142308771075,1017.2571233832462,951.3472980902562
50.0,4.0,10.0,2.0,old,8.647,103.47799709061754,466.8483226489746,395.7836163481337,108.74818304972071,334.9310848584137,267.77149854462726
100.0,4.0,10.0,2.0,ortho,200.457,372.6617627886263,1346.1028948902394,1478.9119902431491,1762.725976220007,3091.920303089205,3332.0820807049076
100.0,4.0,10.0,2.0,gibbs,49.553,306.68297900337967,801.2629561560254,827.8186907992609,371.4867450304968,925.1811651110369,954.5541575005306
100.0,4.0,10.0,2.0,hmc,82.572,759.8307563980585,1228.5962900567458,1239.426822797683,513.38924553281,1002.3916707877652,921.0992484816694
100.0,4.0,10.0,2.0,old,27.982,30.142327502059143,148.85787124673217,115.49077029332975,20.092954348122685,324.0809835026118,208.47861277193323
500.0,4.0,10.0,2.0,ortho,858.551,576.3653315891028,1162.125031765629,1110.447904979093,1704.3046686409823,3341.2666990209705,3625.5549359860815
