taxon,5-1_AdultBodyMass_g,3-1_AgeatFirstBirth_d,7-1_DispersalAge_d,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d
Camelus_dromedarius,13.107685116885051,7.409511903408221,NaN,5.957157740913987,6.420662457742676,-0.020202707317519466,0.0,6.173786103901937,7.57452768290677,NaN,5.964555730550765
Canis_adustus,9.24883870889395,NaN,5.799062350971077,4.174387269895637,NaN,1.5040773967762742,NaN,4.919980925828125,5.5209808026253695,2.0794415416798357,3.9682142850778885
Canis_aureus,9.1756143425811,NaN,NaN,4.114800570789483,5.8998973535824915,1.3190856114264407,NaN,5.2574953720277815,5.916821816611886,2.0794415416798357,4.115779842942166
Canis_latrans,9.3917531826521,5.8998973535824915,5.541263545158426,4.122932019074013,5.8998973535824915,1.7439688053917064,NaN,5.568344503761097,5.921310287184775,2.0794415416798357,3.7775769088752233
Canis_lupus,10.365853022673218,6.305362461690656,5.19295685089021,4.151039905898646,5.8998973535824915,1.6054298910365616,0.6931471805599453,5.869296913133774,6.52116589814278,2.1972245773362196,3.802654468372781
Bos_frontalis,13.592545803165015,NaN,NaN,5.612215281130711,5.998986188506828,0.19885085874516517,0.0,5.7506660605550515,6.415047858129825,NaN,5.2293423520445055
Bos_grunniens,13.122363377404328,NaN,NaN,5.612215281130711,NaN,0.0,0.0,5.58724865840025,6.62691640501235,NaN,5.494418546750363
Bos_javanicus,13.362913495596391,6.816188085456647,NaN,5.69299112357798,NaN,0.19885085874516517,0.0,5.765065703073099,6.68124356176016,NaN,5.662057294608887
Callicebus_cupreus,7.018419704011861,NaN,NaN,4.861748513388538,5.979923201261423,0.009950330853168092,NaN,NaN,NaN,NaN,5.30752484729895
Callicebus_donacophilus,6.799802517467453,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Callicebus_dubius,6.900126251817646,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Callicebus_hoffmannsi,6.973177784290547,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Callicebus_modestus,6.900126251817646,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Caluromys_derbianus,5.7891035349763005,NaN,NaN,NaN,NaN,1.144222799920162,NaN,4.0943445622221,5.528277631189169,NaN,NaN
Caluromys_lanatus,5.8588755674157165,NaN,NaN,NaN,NaN,NaN,NaN,4.0943445622221,NaN,NaN,NaN
Caluromys_philander,5.507240282222274,5.812876013903135,NaN,3.177637076851603,5.1149953094204985,1.430311246536665,0.6931471805599453,4.330733340286331,5.7510476671233155,1.9459101490553132,4.784570814354383
Caluromysiops_irrupta,5.5509420471844155,NaN,NaN,NaN,NaN,0.6931471805599453,NaN,4.543294782270004,NaN,NaN,NaN
Calyptophractus_retusus,4.867457524419928,NaN,NaN,NaN,NaN,NaN,NaN,4.969813299576001,NaN,NaN,NaN
Camelus_bactrianus,13.225850777876717,7.286191714702382,NaN,5.986426879340643,6.593044534142437,0.3293037471426003,0.0,6.173786103901937,7.193385247307787,NaN,5.908436136656566
Bos_sauveli,13.581459940271385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.62691640501235,NaN,NaN
Bos_taurus,13.33528271108181,NaN,NaN,5.636502421172924,NaN,NaN,0.0,5.480638923341991,6.62691640501235,NaN,NaN
Boselaphus_tragocamelus,12.113151330115876,6.816188085456647,NaN,5.515402603278282,5.992713766508414,0.3293037471426003,NaN,5.562218910334414,NaN,NaN,NaN
Canis_mesomelas,9.017641153036047,NaN,5.598421958998375,4.135166556742356,5.612215281130711,1.358409157630355,NaN,5.123963979403259,5.486455308663431,2.0794415416798357,3.529297384289471
Canis_simensis,9.572331360676783,NaN,5.19295685089021,4.152770690690713,5.8998973535824915,NaN,NaN,NaN,6.626373319078836,2.0794415416798357,4.242764567340374
Cannomys_badius,6.15712727967419,NaN,NaN,3.725452434344777,NaN,0.6931471805599453,NaN,3.871201010907891,NaN,NaN,3.914021008090819
Caperea_marginata,17.281246460139002,NaN,NaN,NaN,NaN,-0.020202707317519466,NaN,NaN,NaN,NaN,NaN
Capra_caucasica,10.970772903398554,NaN,NaN,5.043425116919247,NaN,0.0861776962410524,NaN,5.575949103146316,6.922643891475888,1.0986122886681098,NaN
Capra_falconeri,10.902341566611323,6.593044534142437,NaN,5.123844924697481,NaN,0.5481214085096876,NaN,5.123963979403259,6.922643891475888,NaN,5.119728833343189
Capra_hircus,10.766092023898576,6.50602319446308,NaN,5.049856007249537,5.8998973535824915,0.371563556432483,NaN,5.519859636495273,6.212545973703744,1.0986122886681098,5.06284816554319
Capra_ibex,11.149755617592502,6.816188085456647,NaN,5.120983351265121,6.305362461690656,0.10436001532424286,NaN,5.589493328254074,6.731662284359204,1.0986122886681098,4.716264233493678
Atelerix_algirus,6.8068072362536345,NaN,NaN,3.6699514442284173,NaN,0.9162907318741551,0.6931471805599453,4.430816798843313,NaN,NaN,3.681351187693145
Atelerix_frontalis,5.796422425904647,NaN,NaN,3.6144252681889886,NaN,1.6074359097634274,0.4054651081081644,NaN,6.019638896290872,1.791759469228055,3.5496173867804286
Ateles_belzebuth,8.80873082164357,NaN,NaN,4.92870191133357,NaN,0.01980262729617973,NaN,5.817111159963204,NaN,NaN,NaN
Ateles_chamek,8.861338769648613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ateles_fusciceps,9.11250039493151,7.480935791494894,NaN,5.414766179191283,6.747187386150408,0.009950330853168092,NaN,5.662960480135946,7.495364150302136,NaN,6.179395342666448
Ateles_geoffroyi,8.933585051213324,7.640363528422996,NaN,5.422170828715035,6.954781984409892,0.009950330853168092,NaN,5.791793351978915,7.651866449714952,NaN,6.704843184572174
Ateles_marginatus,8.737016035279357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ateles_paniscus,9.07076216272106,7.509335266016592,NaN,5.430134791168223,6.977449237983127,0.0,NaN,6.117215752413542,7.651866449714952,NaN,6.691351464530986
Callicebus_moloch,6.864983468138228,6.9985096422506015,NaN,5.099866427824199,5.8998973535824915,0.009950330853168092,NaN,5.715711045521475,7.141039242092889,NaN,4.074991833706286
Callicebus_oenanthe,6.900126251817646,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Callicebus_olallae,6.900126251817646,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Callicebus_personatus,7.2376344001337065,NaN,NaN,NaN,NaN,0.009950330853168092,NaN,NaN,NaN,NaN,NaN
Callicebus_torquatus,7.098020203530402,NaN,NaN,NaN,NaN,0.009950330853168092,NaN,NaN,7.428719334721052,NaN,4.801230268892559
Callimico_goeldii,6.324358962381311,6.198133128328313,NaN,5.036887665240322,5.206750173022546,0.04879016416943205,NaN,5.36970736263471,6.025479425695259,NaN,4.197652973753796
Callistomys_pictus,6.251884615157525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Callithrix_argentata,5.947826090078152,6.412720980011155,NaN,NaN,5.391807709635375,0.6097655716208943,NaN,5.306285536197214,6.5532494094711,NaN,NaN
Callithrix_aurita,5.956355369994414,NaN,NaN,4.941642422609304,NaN,0.6931471805599453,NaN,NaN,NaN,NaN,NaN
Callithrix_emiliae,5.735216540145731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Callithrix_flaviceps,5.92149798745481,NaN,NaN,4.941642422609304,NaN,0.6931471805599453,NaN,NaN,NaN,NaN,NaN
Callithrix_geoffroyi,5.834810737062605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Callithrix_humeralifera,5.926899358948182,NaN,NaN,NaN,NaN,NaN,NaN,5.19295685089021,NaN,NaN,4.595220855134423
Callithrix_intermedia,NaN,NaN,NaN,NaN,NaN,0.6931471805599453,NaN,NaN,NaN,NaN,NaN
Callithrix_jacchus,5.670604798850187,6.319148277696116,NaN,4.969813299576001,5.073923033332174,0.8372475245337022,NaN,5.306285536197214,6.122470879449363,NaN,4.098336583491638
Callithrix_kuhlii,5.926899358948182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
